subject,relation,object
重力,异常特征,矿体
重力异常,影响,断裂
重力,异常特征,高次导数法
布格校正,校正方法,高度校正
重力,异常特征,重力异常
重力,描述,重力异常图
自由空间重力异常,校正方法,正常场校正
梯度,描述,重力
密度,产生,重力
重力,异常特征,区域异常
重力,异常特征,重力测量
布格重力异常,校正方法,高度校正
球体,产生,重力异常
构造,异常特征,重力
重力,产生,地形校正
梯度,描述,重力场
布格重力异常,校正方法,中间层校正
重力,校正方法,正常场校正
重力异常,影响,反演
球体,异常特征,梯度
延拓,异常特征,重力
重力异常,包含,重力
重力异常,异常特征,区域异常
密度,校正方法,重力
重力异常,异常特征,正常场校正
重力场,产生,重力测量
重力异常,包含,构造
重力,描述,重力场
重力异常图,描述,重力测量
重力,异常特征,延拓
球体,异常特征,重力
重力异常,描述,重力测量
重力,校正方法,剩余异常
重力,异常特征,地形校正
断裂,产生,重力异常
重力异常,反映,密度
重力,描述,梯度
重力,描述,密度
正常场校正,对应,莫霍面
趋势分析法,描述,区域异常
构造,产生,重力
重力,包含,重力测量
重力异常,反映,重力
重力异常,影响,地形校正
重力,校正方法,重力异常
重力异常图,异常特征,铁矿
布格重力异常,异常特征,高度校正
重力,描述,重力测量
重力,异常特征,断裂
重力,属于,重力场
密度,对应,莫霍面
重力异常,构造形式,古潜山
延拓,影响,重力
布格校正,异常特征,重力
反演,用于,重力异常
重力,校正方法,密度
重力场,描述,重力测量
重力测量,产生,密度
重力,异常特征,布格重力异常
重力,作为,区域异常
重力,异常特征,构造
密度,产生,重力异常
断裂,影响,构造
延拓,异常特征,区域异常
重力,描述,反演
重力,校正方法,重力场
重力,描述,布格重力异常
梯度,影响,重力
趋势分析法,描述,重力
矿体,异常特征,重力
布格校正,对应,密度
断裂,构造形式,构造
重力,描述,矿体
重力异常,产生,重力
圆柱体,产生,重力异常
重力,包含,延拓
布格校正,产生,重力
区域异常,产生,重力
重力异常,构造形式,重力
重力场,描述,重力
重力异常,异常特征,重力
重力场,描述,梯度
重力,描述,重力异常
球体,产生,重力
重力,反映,重力异常
重力异常,产生,球体
密度,描述,梯度
重力异常,异常特征,剩余异常
构造,描述,重力
重力,包含,矿体
重力测量,描述,重力
密度,异常特征,重力
重力,异常特征,密度
重力异常,包含,重力测量
重力,描述,正常场校正
重力,作为,密度
重力异常,异常特征,密度
断裂,包含,重力
构造,异常特征,断裂
中间层校正,校正方法,布格校正
重力,构造形式,古潜山
重力异常,描述,重力
重力,包含,平均场法
布格重力异常,包含,密度
密度,校正方法,梯度
区域异常,描述,梯度
延拓,异常特征,重力场
重力,属于,矿体
重力异常图,反映,重力
重力测量,异常特征,矿体
重力,包含,密度
正常场校正,对应,密度
矿体,构造形式,重力异常
重力,产生,重力异常
密度,影响,剩余异常
重力异常,反映,构造
重力测量,校正方法,重力
高度校正,校正方法,正常场校正
重力,影响,重力异常
重力场,异常特征,构造
地形校正,校正方法,密度
区域异常,异常特征,梯度
重力,异常特征,梯度
重力,影响,构造
重力,异常特征,高度校正
矿体,反映,重力
平均场法,异常特征,重力
重力,用于,区域异常
重力,异常特征,中间层校正
重力异常图,描述,重力
重力,构造形式,重力异常
密度,用于,构造
重力测量,校正方法,密度
延拓,影响,重力场
梯度,异常特征,重力异常
重力异常,异常特征,反演
反演,描述,密度
矿体,异常特征,密度
密度,异常特征,反演
布格重力异常,校正方法,正常场校正
区域异常,作为,重力
地形校正,校正方法,重力
球体,产生,梯度
重力测量,描述,梯度
重力异常,作为,重力
梯度,用于,重力场
重力异常,异常特征,延拓
重力,作为,重力测量
剩余异常,产生,重力
重力,产生,密度
反演,异常特征,重力
重力,构造形式,构造
重力异常,作为,密度
高次导数法,异常特征,重力异常
重力,产生,矿体
重力,反映,构造
重力异常,属于,反演
重力,描述,地形校正
密度,用于,重力异常
高度校正,校正方法,布格重力异常
构造,包含,重力
密度,包含,构造
密度,构造形式,古潜山
重力异常,校正方法,重力
重力,影响,断裂
布格重力异常,异常特征,正常场校正
地形校正,对应,密度
重力,描述,构造
密度,构造形式,地形校正
重力,异常特征,莫霍面
重力异常,影响,重力
布格重力异常,校正方法,布格校正
布格重力异常,异常特征,重力
重力异常,包含,区域异常
正常场校正,对应,球体
布格重力异常,反映,重力异常
正常场校正,包含,构造
梯度,异常特征,重力
均衡校正,异常特征,重力异常
重力,包含,重力异常
梯度,描述,重力测量
重力,作为,重力场
重力,异常特征,球体
重力异常,产生,密度
重力测量,用于,重力
重力,产生,重力场
布格重力异常,产生,重力
密度,描述,地形校正
重力,反映,重力异常图
重力测量,描述,密度
矿体,构造形式,重力
重力,异常特征,重力场
重力,异常特征,铁矿
布格重力异常,异常特征,布格校正
重力异常,校正方法,高度校正
重力异常,产生,中间层校正
正常场校正,反映,球体
重力异常,作为,区域异常
球体,校正方法,重力
重力,校正方法,中间层校正
密度,产生,构造
构造,对应,断裂
梯度,异常特征,剩余异常
梯度,异常特征,反演
密度,异常特征,构造
梯度,描述,重力异常
梯度,异常特征,球体
重力,产生,球体
趋势分析法,异常特征,延拓
重力场,产生,重力异常
重力异常,产生,重力场
重力,反映,球体
正常场校正,对应,重力
地形校正,校正方法,高度校正
梯度,异常特征,断裂
球体,异常特征,密度
布格重力异常,异常特征,均衡校正
梯度,用于,重力
重力测量,反映,重力
延拓,影响,重力异常
重力,反映,密度
重力测量,包含,重力场
重力,异常特征,均衡校正
重力测量,校正方法,中间层校正
重力,校正方法,地形校正
重力异常,作为,布格校正
重力异常,反映,球体
矿体,产生,重力
构造,构造形式,古潜山
背斜,异常特征,圆柱体
重力,校正方法,重力测量
圆柱体,异常特征,重力
重力,异常特征,剩余异常
区域异常,影响,重力
重力测量,产生,重力
重力,异常特征,布格校正
重力异常,异常特征,重力场
均衡校正,包含,地形校正
重力,反映,梯度
布格重力异常,异常特征,延拓
矿体,异常特征,重力异常
区域异常,作为,重力异常
重力异常,描述,密度
重力,校正方法,球体
断裂,产生,重力
重力异常图,异常特征,重力
重力场,包含,重力
构造,影响,重力
重力异常,异常特征,重力测量
重力异常,校正方法,剩余异常
梯度,作为,密度
重力,异常特征,趋势分析法
梯度,描述,反演
重力,校正方法,区域异常
重力异常,异常特征,重力异常图
反演,属于,矿体
构造,作为,断裂
平均场法,作为,区域异常
重力,影响,正常场校正
重力异常图,描述,重力异常
重力异常,用于,重力
梯度,描述,密度
重力,异常特征,反演
重力异常,产生,梯度
重力测量,校正方法,重力异常
构造,产生,重力场
梯度,异常特征,密度
断裂,异常特征,重力
重力,产生,重力测量
趋势分析法,异常特征,区域异常
重力,影响,延拓
重力,影响,密度
中间层校正,校正方法,高度校正
重力场,产生,重力
密度,异常特征,重力异常
延拓,属于,重力
平均场法,异常特征,区域异常
布格校正,校正方法,重力
背斜,异常特征,重力
延拓,产生,重力场
趋势分析法,异常特征,重力
高次导数法,用于,区域异常
平均场法,作为,重力异常
构造,构造形式,断裂
重力,异常特征,平均场法
重力,作为,构造
重力,用于,重力测量
重力,用于,重力场
正常场校正,包含,密度
重力测量,异常特征,重力
重力,校正方法,梯度
重力异常,校正方法,布格校正
重力场,反映,重力
构造,包含,重力异常
正常场校正,包含,矿体
梯度,描述,构造
密度,异常特征,重力测量
重力,用于,密度
密度,产生,梯度
梯度,产生,重力异常
反演,异常特征,密度
高次导数法,用于,重力
球体,描述,反演
布格重力异常,作为,正常场校正
重力异常图,构造形式,构造
梯度,用于,构造
重力测量,异常特征,构造
布格重力异常,作为,重力
平均场法,异常特征,重力异常
球体,校正方法,布格校正
区域异常,异常特征,重力异常
重力测量,描述,重力场
重力异常,包含,密度
重力,描述,布格校正
构造,产生,重力异常
密度,属于,反演
密度,构造形式,重力
重力,产生,反演
密度,产生,反演
重力,异常特征,古潜山
构造,反映,重力
正常场校正,异常特征,构造
重力测量,包含,重力
重力,产生,延拓
重力异常,描述,反演
布格重力异常,反映,重力
重力,对应,重力异常
断裂,对应,构造
重力,作为,布格校正
正常场校正,校正方法,球体
断裂,异常特征,构造
重力异常图,反映,重力异常
球体,异常特征,反演
重力异常,校正方法,正常场校正
重力,描述,高度校正
布格校正,校正方法,中间层校正
重力场,异常特征,重力
重力,描述,中间层校正
重力,包含,高次导数法
反演,异常特征,梯度
高度校正,校正方法,布格校正
重力,用于,构造
重力测量,反映,构造
均衡校正,包含,密度
断裂,用于,构造
构造,包含,密度
重力,反映,矿体
布格重力异常,校正方法,重力
重力,异常特征,重力异常图
铁矿,异常特征,矿体
重力异常,影响,构造
布格重力异常,包含,重力
重力异常,用于,区域异常
构造,异常特征,重力场
球体,校正方法,莫霍面
梯度,反映,重力
重力异常,校正方法,中间层校正
重力,包含,趋势分析法
重力异常,反映,重力异常图
重力,包含,区域异常
构造,包含,反演
重力,校正方法,高度校正
延拓,异常特征,梯度
延拓,产生,重力
重力异常,构造形式,构造
密度,描述,中间层校正
矿体,产生,重力异常
重力,包含,反演
重力异常,异常特征,中间层校正
构造,异常特征,反演
重力测量,产生,重力异常
断裂,作为,构造
密度,校正方法,中间层校正
重力,校正方法,布格校正
重力场,反映,构造
重力异常,校正方法,密度
重力测量,用于,重力场
地形校正,校正方法,中间层校正
重力异常图,构造形式,古潜山
延拓,影响,梯度
布格校正,校正方法,正常场校正
重力,作为,重力异常
重力,描述,断裂
重力异常,作为,重力场
梯度,反映,密度
布格校正,校正方法,密度
趋势分析法,描述,重力异常
构造,描述,断裂
重力异常,对应,密度
重力异常,用于,平均场法
密度,产生,球体
密度,包含,重力测量
球体,校正方法,密度
重力异常图,产生,重力
趋势分析法,作为,区域异常
重力测量,描述,地形校正
构造,异常特征,重力异常
重力异常,异常特征,铁矿
密度,构造形式,背斜
重力异常,异常特征,布格校正
趋势分析法,作为,重力
地形校正,校正方法,正常场校正
重力测量,校正方法,梯度
密度,描述,重力
重力异常,产生,反演
重力,产生,构造
高度校正,校正方法,重力
密度,异常特征,莫霍面
高次导数法,异常特征,区域异常
重力异常,影响,重力场
中间层校正,对应,密度
趋势分析法,异常特征,布格重力异常
重力,反映,重力场
重力异常,产生,延拓
矿体,异常特征,圆柱体
重力异常,异常特征,构造
区域异常,产生,重力异常
重力场,描述,重力异常
重力,对应,密度
高次导数法,异常特征,重力
构造,描述,反演
正常场校正,异常特征,密度
正常场校正,异常特征,矿体
反演,异常特征,重力场
密度,产生,重力测量
重力异常图,校正方法,重力
构造,异常特征,重力异常图
梯度,异常特征,构造
构造,作为,区域异常
断裂,包含,重力异常
重力异常,包含,反演
重力,异常特征,正常场校正
重力异常,反映,矿体
构造,反映,重力异常
重力,产生,梯度
密度,构造形式,球体
均衡校正,异常特征,重力
地形校正,产生,重力
布格重力异常,异常特征,地形校正
重力异常,用于,构造
重力异常,异常特征,断裂
密度,描述,重力测量
梯度,描述,断裂
重力测量,校正方法,地形校正
矿体,反映,重力异常
区域异常,异常特征,剩余异常
剩余异常,反映,构造
重力,影响,反演
密度,异常特征,梯度
重力异常,影响,矿体
重力测量,影响,重力
重力,校正方法,莫霍面
重力,包含,构造
重力,影响,重力测量
正常场校正,校正方法,莫霍面
重力异常,异常特征,布格重力异常
趋势分析法,异常特征,重力异常
区域异常,异常特征,延拓
重力,影响,地形校正
反演,描述,重力
重力,用于,重力异常
密度,校正方法,地形校正
重力,构造形式,密度
断裂,产生,构造
重力异常,异常特征,高度校正
梯度,反映,重力异常
重力测量,描述,构造
密度,异常特征,矿体
莫霍面,产生,重力
反演,描述,矿体
密度,影响,莫霍面
矿体,包含,构造
密度,构造形式,重力异常
重力异常,包含,重力场
重力,反映,重力测量
重力,影响,重力场
延拓,属于,重力场
平均场法,作为,重力
延拓,产生,梯度
球体,校正方法,重力异常
断裂,影响,矿体
重力异常,校正方法,重力场
重力测量,产生,梯度
反演,包含,构造
重力异常,异常特征,梯度
重力场,异常特征,重力测量
布格重力异常,校正方法,密度
重力异常图,异常特征,重力异常
断裂,包含,构造
密度,校正方法,布格校正
重力异常,描述,区域异常
重力异常,用于,重力场
重力,作为,正常场校正
重力异常,影响,延拓
布格重力异常,作为,密度
趋势分析法,作为,重力异常
密度,产生,矿体
重力测量,反映,重力异常
布格重力异常,异常特征,密度
重力,反映,断裂
密度,包含,重力
布格重力异常,作为,布格校正
自由空间重力异常,异常特征,地形校正
重力测量,反映,重力异常图
趋势分析法,作为,布格重力异常
重力异常,构造形式,密度
重力,属于,反演
重力,作为,球体
延拓,产生,重力异常
密度,构造形式,反演
重力,异常特征,圆柱体
重力异常,异常特征,均衡校正
重力异常,描述,重力场
圆柱体,异常特征,重力异常
重力,影响,梯度
区域异常,影响,重力异常
重力,影响,矿体
反演,用于,重力
反演,包含,矿体
球体,影响,重力
背斜,异常特征,梯度
区域异常,影响,重力异常图
密度,影响,重力
梯度,产生,重力
正常场校正,校正方法,密度
密度,异常特征,圆柱体
圆柱体,产生,重力
重力异常,产生,地形校正
重力异常,异常特征,球体
重力场,包含,重力测量
密度,校正方法,莫霍面
重力,产生,中间层校正
重力,对应,布格校正
区域异常,异常特征,重力
反演,影响,重力
重力异常,异常特征,地形校正
密度,包含,矿体
梯度,用于,密度
重力场,反映,密度
密度,反映,球体
构造,产生,断裂
地形校正,影响,中间层校正
重力,包含,重力场
重力,作为,矿体
背斜,异常特征,重力异常
重力异常,对应,布格校正
高度校正,校正方法,重力异常
延拓,异常特征,重力异常
梯度,异常特征,区域异常
区域异常,描述,剩余异常
重力异常,对应,重力
高次导数法,用于,重力异常
布格重力异常,异常特征,重力异常
地形校正,校正方法,梯度
重力,描述,区域异常
重力,用于,平均场法
重力测量,产生,地形校正
布格重力异常,异常特征,中间层校正
高次导数法,用于,平均场法
重力异常,作为,正常场校正
密度,用于,重力
球体,校正方法,中间层校正
重力,用于,矿体
重力,异常特征,背斜
正常场校正,校正方法,重力
重力异常,反映,断裂
平均场法,异常特征,延拓
梯度,描述,剩余异常
密度,产生,地形校正
剩余异常,反映,重力
重力,异常特征,破碎带
梯度,描述,区域异常
重力场,异常特征,重力异常
构造,描述,矿体
重力异常,影响,梯度
构造,异常特征,圆柱体
构造,产生,反演
梯度,属于,反演
